B,G,R,Color
32,129,80,Green
25,150,59,Green
0,47,14,Green
0,42,18,Green
101,188,220,Green
66,145,184,Green
2,29,34,Green
21,142,49,Green
21,143,57,Green
10,148,56,Green
31,143,109,Green
0,74,93,Green
13,154,70,Green
8,148,59,Green
31,151,75,Green
202,83,3,Blue
195,82,7,Blue
96,143,160,Blue
47,71,76,Blue
213,94,3,Blue
211,84,0,Blue
81,37,15,Blue
29,28,5,Blue
122,164,182,Blue
131,170,189,Blue
95,138,160,Blue
46,32,24,Blue
200,74,1,Blue
205,82,0,Blue
56,39,21,Blue
195,94,26,Blue
40,39,38,Blue
124,172,192,Blue
128,183,200,Blue
52,102,123,Blue
189,77,3,Blue
185,74,1,Blue
191,83,0,Blue
188,89,3,Blue
194,90,38,Blue
184,92,21,Blue
108,84,65,Blue
98,76,62,Blue
47,61,76,Blue
192,77,0,Blue
189,70,1,Blue
203,81,0,Blue
197,87,14,Blue
35,58,72,Blue
48,98,116,Blue
179,93,27,Blue
191,88,10,Blue
199,82,5,Blue
191,85,4,Blue
75,114,149,Blue
46,49,51,Blue
205,94,20,Blue
206,89,0,Blue
207,95,10,Blue
205,102,23,Blue
68,73,71,Blue
69,98,108,Blue
188,107,46,Blue
182,95,28,Blue
201,92,8,Blue
202,95,23,Blue
197,95,17,Blue
107,74,49,Blue
197,88,5,Blue
193,86,4,Blue
201,95,13,Blue
202,89,14,Blue
101,97,68,Green
0,39,0,Green
0,31,0,Green
31,145,39,Green
28,146,40,Green
24,110,38,Green
43,154,61,Green
43,158,58,Green
36,154,44,Green
3,54,6,Green
20,92,15,Green
39,155,43,Green
118,106,68,Green
45,74,28,Green
28,63,15,Green
0,59,39,Green
93,178,209,Green
93,174,204,Green
31,131,78,Green
60,140,164,Green
21,143,29,Green
9,69,21,Green
3,63,33,Green
45,157,56,Green
34,149,34,Green
28,140,24,Green
30,141,34,Green
22,137,37,Green
67,141,159,Green
31,141,71,Green
25,151,50,Green
21,150,34,Green
16,62,18,Green
50,159,64,Green
105,178,200,Green
18,63,59,Green
5,49,23,Green
39,150,35,Green
28,137,24,Green
17,130,24,Green
58,102,249,Orange
54,101,255,Orange
49,104,255,Orange
9,26,95,Orange
9,34,91,Orange
50,111,255,Orange
55,108,255,Orange
11,49,139,Orange
80,121,255,Orange
20,63,138,Orange
32,82,125,Orange
39,89,139,Orange
34,52,112,Orange
53,107,255,Orange
72,106,239,Orange
10,25,99,Orange
54,108,255,Orange
35,77,173,Orange
33,96,245,Orange
15,64,129,Orange
52,84,191,Orange
111,94,112,Orange
51,112,255,Orange
54,107,253,Orange
10,38,114,Orange
40,104,255,Orange
5,43,99,Orange
57,116,255,Orange
39,104,255,Orange
35,101,255,Orange
12,44,119,Orange
48,117,255,Orange
162,151,141,Red
2,53,69,Red
89,164,196,Red
14,49,164,Red
0,31,155,Red
0,31,71,Red
11,50,90,Red
99,176,215,Red
97,175,203,Red
2,35,37,Red
159,162,160,Red
0,29,147,Red
0,41,154,Red
9,56,165,Red
6,55,169,Red
96,178,219,Red
77,190,186,Yellow
70,192,188,Yellow
16,47,58,Yellow
69,192,192,Yellow
73,143,184,Yellow
70,187,191,Yellow
49,116,144,Yellow
23,90,103,Yellow
0,67,74,Yellow
66,197,202,Yellow
69,194,194,Yellow
68,195,191,Yellow
4,88,88,Yellow
0,69,69,Yellow
2,89,86,Yellow
62,174,182,Yellow
107,176,222,Yellow
92,162,203,Yellow
19,89,115,Yellow
1,76,84,Yellow
73,196,192,Yellow
53,146,137,Yellow
80,191,184,Yellow
80,192,188,Yellow
83,192,196,Yellow
73,196,200,Yellow
73,199,199,Yellow
77,194,190,Yellow
87,195,191,Yellow
12,87,87,Yellow
109,181,222,Yellow
16,84,101,Yellow
66,199,199,Yellow
176,176,176,Yellow
175,175,175,Yellow
124,139,148,Yellow
177,181,181,Yellow
58,66,68,Yellow
133,191,224,Yellow
185,192,199,Yellow
182,194,193,Yellow
181,187,187,Yellow
183,187,187,Yellow
188,185,179,Yellow
184,185,181,Yellow
181,183,179,Yellow
181,188,187,Yellow
184,188,188,Yellow
184,191,191,Yellow
180,190,193,Yellow
184,194,193,Yellow
184,185,181,Yellow
180,178,177,Yellow
177,177,177,Yellow
167,178,181,Yellow
180,188,191,Yellow
184,188,188,Yellow
180,176,173,Yellow
50,59,60,Yellow
192,84,1,Blue
105,49,6,Blue
197,81,3,Blue
20,34,32,Blue
186,83,14,Blue
70,135,172,Blue
63,134,164,Blue
30,65,67,Blue
114,176,207,Blue
56,42,36,Blue
29,36,31,Blue
179,101,49,Blue
43,38,37,Blue
60,41,28,Blue
202,94,11,Blue
51,34,18,Blue
47,33,6,Blue
181,81,23,Blue
194,106,38,Blue
186,102,38,Blue
185,98,32,Blue
172,98,48,Blue
108,73,49,Blue
